tid,text,gt
41,Happy to sit down with @USER this morning to discuss Congressman Paul Ryan as potential House speaker.,2
42,#tbt Discussing Paycheck Fairness w/Lilly Ledbetter. Law is 6 years old today. #EqualPay HTTPURL,1
43,"Today I met with the parents of #Hadar_Goldin, an #Israeli soldier who was killed by #Hamas. #Hamas must release his body to his family.",2
44,Fairness and equality are core American values. It's time to make sure they are the law of the land as well by passing #HR5 and protecting #LGBTQ Americans from discrimination. #EqualityAct,1
45,"State health officials have announced today 29 additional cases of COVID-19 in New Mexico, currently totaling 237 positive tests statewide.  More information here: HTTPURL  The health of your community depends on you. Stay home.  #StayHomeSaveLives #AllTogetherNM",1
46,WATCH @USER on @USER earlier this afternoon discussing #ISIS HTTPURL,2
47,Rep. Hensarling’s bill guts Wall Street rules & consumer protections & puts working Americans at risk. It's unacceptable. #WrongChoiceAct,1
48,".@USER think this is a game, but we're gaining strength #dontyoufeelit #NoFlyNoBuy #NoBillNoBreak",1
49,We’re committed to combating the #opioidcrisis through a multi-pronged approach. Learn more: HTTPURL ✓ Treatment and recovery ✓ Prevention ✓ Protecting communities ✓ Fighting fentanyl,2
50,"Mr. Speaker, let's vote to #renewUI for 2.8M, including nearly 100,000 in #GA!",1
51,"If your #DACA expired on or after September 5, 2016 you may submit a DACA renewal application. Apply with USCIS → HTTPURL #RenewDACA",1
52,Chancellor @USER chats w/ @USER before grand opening of #biodigester @USER -staff #HappyEarthDay,1
53,"During the celebration of 72 years of Sri Lankan Independence, we recognize the many contributions of this community as part of the #AAPI population, one of the fastest growing communities in our country.",1
54,We need #PaycheckFairness now! Proud to have just cast my vote for #EqualPayForEqualWork,1
55,"With the intelligence community warning that foreign interference in US elections will increase, Sen Klobuchar spoke today in the Capitol calling on Majority Leader McConnell to hold a vote on #ElectionSecurity bills, including The Honest Ads and SAFE Acts, that she sponsored.",1
56,"Democrats kill bipartisan compromise to end #shutdown, White House brags ""we are winning."" #DemocratShutdown #tcot",2
57,"I will discuss U.S. #ForeignPolicy, #Iraq & #Syria on MSNBC's #EdShow at 5:18 PM ET/ 2:18 PM PT #p2",1
58,"#NCA2014: #ClimateChange not a distant threat. It's affecting us now, which is why we must #ActOnClimate immediately",1
59,#WeWillNotYield the floor until we get a vote on common sense gun legislation Americans are demanding #NoBillNoBreak,1
60,"Spending the day traveling the state to hear from Ohioans about #NAFTA, and talk about how we can improve trade deals for Ohio. First stop: Toledo.",1
61,NOW watch @USER and others at Europe subcommittee hearing on #Putin and #Ukraine: HTTPURL,2
62,"A positive note: As of today, there are 26 COVID-19 cases designated as having recovered by the New Mexico Department of Health.  We will get through this public health emergency together.  Stay home. Wash your hands. Be kind.  #AllTogetherNM #StayHomeSaveLives",1
63,"My administration has made the very difficult decision, in close consultation with education & health leaders, to extend public school closures through the rest of the academic year. We have to continue to take aggressive steps to mitigate the spread of COVID-19. #AllTogetherNM",1
64,The #ACA is saving seniors & people w/ disabilities billions by closing the prescription drug donut hole.,1
65,"Today, the GOP voted to deny that CO2 pollution harms our planet. But the science is clear. We must #ActOnClimate",1
66,"Thrilled to join Troy Stevenson & @USER @USER party thanking volunteers for #MarriageEquality victory, Asbury Park",1
67,It’s long past time to ensure #EqualPay for women HTTPURL #NoMadMenPay #equalpayday,1
68,"Demanded that Congress overturn #SCOTUS decision on #VotingRightsAct at St. James AME Church, Newark rally. #VRA #NJ",1
69,"State health officials have announced today 109 additional cases of #COVID19 in New Mexico, currently totaling 794 positive tests statewide.  Sadly, @USER has also announced one new death related to COVID-19, bringing the total to 13.  More info here: HTTPURL",1
70,"For every dollar spent treating #Alzheimers, we invest less than a penny in #research to prevent the disease. #endalz",1
71,"If Cornyn's telling you he opposes raising the debt limit, he voted to raise the debt limit eight times before this.",2
72,"The state of New Mexico has been working around the clock to feed thousands during the #COVID19 pandemic:  - Over 5.4 million meals delivered to children and youth  - Over 293,000 meals delivered to seniors  - Over 400,000 lbs of food items delivered to communities most in need",1
73,"1.3M Americans & 55,000 in GA need us #renewUI. We are our brothers & sisters keepers. Don't leave them #outinthecold",1
74,Great to meet with folks at @USER Grand Forks yesterday. LM Wind Power is a leading supplier of blades to the wind industry.,2
75,"With the passage of the #TaxCutsandJobsAct, Congress just corrected the tax imbalance created by decades of special interest lobbying in Washington. #TaxReform #2059More   More here: HTTPURL",2
76,"Top stories in US according to NY Times? Russia hoax, fake fight over post office, & the dangers of fraternity parties. Yes, while citizens are attacked daily & Democrat cities burn from violent BLM Antifa mobs, the true threat according to NYT are frat parties. #TheyreLyingToYou",2
77,The current minimum wage isn't enough for workers & their families to get out of poverty. It's time to #raisethewage,1
78,@USER says that President Trump’s trial will be just like Clinton’s. That’s a lie. #EndTheCoverUp #DefendOurDemocracy,1
79,Adding my signature to the Northrop Grumman sign for their facility being built at #GrandSky,2
80,I'm in @USER now preparing to question Mr. Mueller about @USER ordering WH Counsel McGahn to fire #Mueller. #RetweetTheReport #MuellerHearing #MuellerTestimony #MuellerHearings #MuellerTestifies #NoOneIsAboveTheLaw,1
81,"Tomorrow is Nov 1, which means just 1 day until you can buy or change your health care plan. Visit HTTPURL #GetCovered",1
82,"The #PaycheckProtectionProgram continues to work for the #TX12 worker. With over $41 billion approved for #Texas small businesses, over 4.5 million Texans have kept their jobs, including at least 204,350 in #TarrantCounty alone. See more from @USER here: HTTPURL",2
83,".@USER listened to public health experts, raised the tobacco age to 21 and is saving lives. Now, he should listen to public health experts on the issue of gun control. #EndGunViolenceBill #EndGunViolence",1
84,"For every $1 of care for Alzheimer's, we spend less than a penny on research for prevention. #EndAlz",1
85,Joining my fellow @USER to call for a clean CR vote to end the #GOPShutdown #EnoughAlready #DemandAVote,1
86,"Stop, Look, Listen: 81 years ago today, #MarvinGaye was born at Howard University Hospital. The wisdom in his love songs spans generations.  Mercy mercy me, I heard it through the grapevine that distant lovers are the best kind right now. #socialdistancing",1
87,"Cornyn says he ""doesn't get the point about open carry.""  Let's teach him a lesson. Early voting starts Tues, Feb. 18",2
88,"The #GOPTaxScam was written to tilt the deck against the middle class. In Rhode Island alone, the top 5% of earners get 59% of tax breaks because of the Republican plan.",1
89,"As Americans, we help one another in times of great need. This is why we must #RenewUI.",1
90,"The #CBO just released its long-term assessment of #Trumpcare, and it shows that #MedicaidCuts extend to 35% over the next two decades. Sad!",1
91,“My mother is 95 & receives a pension of only $1500/mon. Medicaid keeps her alive so she is able to spend time w her kids & grandkids.” –Bob,1
92,"The frontlines of the #OpioidEpidemic are treatment providers like the New Hope Corps. here in #FL26. Thankful for their work to combat all #opioid addiction, including the shocking 1,027% increase in fentanyl-related deaths in #MiamiDade since 2014.",2
93,"Today, on Asian American and Pacific Islander Equal Pay Day, we’re recognizing some of the starker wage disparities that certain ethnicities of AAPI women experience. Join us as we push back against the “model minority” myth and share information about #AAPIEqualPay.",1
94,"I requested the CAO to withhold my salary until the government shutdown ends. Members of Congress and Senators shouldn't be treated differently than anyone else. Our brave men and women in uniform aren't being paid, so neither should we.",2
95,"Today we've crossed the threshold of 5,000 #COVID19 cases in New Mexico, as well as over 200 devastating deaths.  Cases continue to rise. The virus continues to spread.  Every New Mexican must do their part in practicing social distancing and slowing the spread of the virus.",1
96,Rep. Cicilline’s statement after voting to approve two articles of  impeachment in the House Judiciary Committee this morning #DefendOurDemocracy,1
97,I am listening to those speaking out for police reform and will vote to pass the George Floyd #JusticeInPolicing Act today.   Learn more about the bill and become a citizen co-sponsor at HTTPURL.,1
98,Federal contract workers are being irreparably harmed by the #TrumpShutdown with lost wages. #EndTheShutdown,1
99,"During a ceremony this May, I was proud to commemorate Israel's Independence Day & Jewish American Heritage Month.",2
100,Yesterday @USER met Natalie Sedletska w/ @USER and @USER known for uncovering corruption in Ukraine.,2
101,Stopped by Select Physical Therapy to speak to patients who are struggling to afford their doctor-recommended care.  I’m urging @USER to listen to the American people and pass the 11 #HealthCare bills from the #House now. #ProtectOurCare #HealthCareWeek,1
102,The House voted to #StopIRS targeting. RT if you agree #SenateMustAct.,2
103,"In a @USER hearing abt global threats, #ISIS. Hearing from @USER Secretary Johnson, @USER @USER",2
104,Glad to join @USER @USER and Miami Valley leaders in Dayton this morning to celebrate the area’s many wins in this year’s #NDAA. Our work together resulted in the largest military construction investment ever made in @USER NASIC.,1
105,"Big win for ND, our economy, & our allies - #Congress expected to lift #crudeoil export ban #Lifttheban #Yes2Energy",2
106,I share Grand Forks BRIC’s enthusiasm as the 319th Air Base Wing brings back flying missions and the great potential that will bring to the Grand Forks area.,2
107,The President's #DirtyWaterRule puts the drinking water sources for tens of millions of people at risk. He is undoing decades of bipartisan protection of clean water for a huge giveaway to the polluters who are calling the shots in the #TrumpAdministration. #ProtectCleanWater,1
108,We can't allow corporations to rig the justice system against #EqualPay. Let’s end #ForcedArbitration,1
109,Talked with @USER today about the importance of U.S.-Ukraine ties and how the impeachment inquiry is affecting that relationship.,2
110,House Dems passed the George Floyd #JusticeInPolicing Act. It’s time for the Senate to take it up.   Join me in sending a message to Trump & Senate Republicans: We need comprehensive police reform NOW.   Sign up by July 23 to become a citizen cosponsor at HTTPURL.,1
111,"From decriminalizing sodomy to legalizing marriage equality, we’ve come far and we’ll continue to work for full equality. #EqualityDay",1
112,Climate change may be most pressing national security challenge of 21st century. Now is time for bold action to keep American people safe.,1
113,Had a great meeting with @USER and @USER today to discuss building consensus for #ClimateChange solutions.,2
114,"ICYMI: Yesterday, I voted to to balance the budget and grow our economy. Learn more: HTTPURL",2
115,Son Abel looking out for Granddaughter Lyla on 1st day of preschool at Shiloh Christian in Bismarck. A good uncle.,2
116,"This morning, House members @USER took a moment of silence #NeverForget #15YearsAfter911",2
117,The plan to #RaisetheWage to $10.10 would give Ohioans a #FairShot to make a living & boost economy.,1
118,"""We cannot continue to be weaponized in this manner.” – Jacqueline, furloughed FEMA worker #ShutdownStories",1
119,Nevada ranks as one of the worst states in the country for access to affordable housing. @USER proposal to purge undocumented immigrants from public housing will disproportionately affect Nevadans. We need to #KeepFamiliesTogether HTTPURL,1
120,What a blast celebrating the grand opening (and jumping in for a quick dip!) at Grindstone Lake water park in Ruidoso. This is a picture-perfect example of outdoor recreation opportunity in our state: One water sports outfit here has quickly spawned five new businesses! #NMTrue,1
121,"News from @USER Tribal gaming operations can access the #PaycheckProtectionProgram, allowing tribes to support more of their workers amid #COVID19.  @USER @USER and I sent a letter to the Department advocating for this decision.",2
122,If only the @USER real priorities weren't such a joke... #DemandAVote #RenewUI #RaiseTheWage #AprilFools,1
123,Sen. Johnson continues to support the @USER BlueCampaign to stop human trafficking. #HumanTraffickingAwarenessDay HTTPURL,2
124,COVID-safe practices MUST be in place in order for any business or house of worship to operate.  The Economic Recovery Council and @USER have developed specific COVID-safe practices (CSPs) for a wide variety of employers – see your required CSPs here: HTTPURL,1
125,#DREAMers are Americans. It’s that simple. Pass the DREAM Act now! #ProtectDREAMers,1
126,"We will #NeverForget the nearly 3,000 lives taken from us & the heroic first responders who rushed from across the country to assist.",2
127,"300,000 young Americans are in danger of becoming victims of sex trafficking. #EndTrafficking",2
128,Great having @USER testify at @USER about their important work on the @USER #VITA program for low-income families in #SoFla. Also sat down after to talk about their support for my calls to pass a #DACA solution as quickly as possible.,2
129,"B/c of #ObamaCare, up to 17 million children can no longer be denied coverage by insurers. #p2 #ACA",1
130,Grand Forks being announced as the first operational UAS test site,2
131,"I'm grateful to have the opportunity to speak with the Senate Education Committee this morning about Senate Bill 671. I want all New Mexico children, including my granddaughter Avery, to be ensured early childhood education – that's why I'm not giving up on this fight. #nmleg",1
132,Receiving a briefing from @USER in Grand Forks concerning their use of UAS to keep our country safe.,2
133,"I join .@USER in fighting to make our nation's highways, bridges, transit, rail, airports, and harbors safer, smarter, & made to last.   The #MovingForward Act invests $1.5 trillion to do just that, while putting millions of Americans back to work. #ForThePeople",1
134,We need a leader in the Senate who fights #ForThePeople by passing bills that have the American people’s interests in mind -- not special interest groups. #McConnellGraveyard,1
135,Pleased to lead a bipartisan congressional delegation to Kyiv to demonstrate America’s support for the people of Ukraine. Enjoyed meeting with President Volodymyr Zelensky and the reformers who comprise his administration.,2
136,When a doctor at #Tomah #VA blew the whistle on an #opioidcrisis he suffered retaliation. Today we say never again.,2
137,"#SCOTUS ruling proves that #HomeIsHere. I hope my constituents like Cinthya, Damaris and the hundreds of thousands of #Dreamers nationwide celebrate this deserved victory. #HereToStay HTTPURL",1
138,Solution to Syrian Refugee Crisis is to destroy ISIS & open path to new leadership in Syria. HTTPURL,2
139,"The so-called Deficit Hawks' #GOPTaxScam will cause the federal deficit to quickly rise, topping $1 trillion by 2020, says CBO. Look for Republicans to use the deficit they created to justify ransacking Medicare, Medicaid, and Social Security. Dem-controlled House will stop them!",1
140," The Senate just passed the #CARESAct, Phase Three of our #COVIDー19 relief plan.  It injects immediate help directly into the economy. I hope the House passes it right away & sends it to @USER American people have waited long enough.",2
141,"Beautiful evening to join folks in Barney, ND for the grand opening of @USER new grain shuttle loader.",2
142,"New Mexico: testing for #COVID19 is available statewide.  The more New Mexicans get tested, the better understanding we have of the pandemic in our state.  Help us keep New Mexico safe: get tested and slow the spread.  See statewide testing sites here: HTTPURL",1
143,"#GOPshutdown piecemeal funding has neglected food assistance, services for our veterans, child care funding & more.",1
144,"Nonpartisan @USER on how #TaxCutsandJobsAct will benefit different individuals and families. Average family of four will see a $2,059 tax cut.  More here: HTTPURL…",2
145,"Auschwitz, the notorious Nazi death camp, was liberated 75 years ago. On this #HolocaustRemembranceDay we remember the 6 million Jews murdered in the Holocaust and pledge #NeverAgain. #WeRemember",2
146,"As chairman of the Foreign Relations Committee’s Subcommittee on Europe and Regional Security Cooperation, it was an honor to start the week in #Ukraine for the inauguration of President @USER and to meet with other Baltic presidents.",2
147,I’m proud to join @USER #LoveConquersHate campaign supporting #LGBT equality in Russia. HTTPURL,1
148,The bipartisan #USMCA would improve American businesses by adding to the economy and creating jobs!,2
149,The number of Americans who have lost their unemployment benefits today reached 1.6M. Congress must act to #RenewUI.,1
150,"Jan. 22, 2020 marks the 47th anniversary of the #RoevWade ruling.  Today, @USER proclaimed 01/22 National Sanctity of Human Life Day. The President & his Admin continue to fight for and implement strong pro-life policies.   HTTPURL…",2
151,COVID-safe practices MUST be in place in order for any business or organization to operate.  The state Economic Recovery Council and @USER have developed specific COVID-safe practices (CSPs) for a wide variety of employers – see your required CSPs here: HTTPURL,1
152,Pope Francis will address Congress at 10 AM (EST) Watch it live -    HTTPURL… #PopeInDC #PopeInUSA,2
153,#CommonCore problems: another reminder of why we need more #schoolchoice,2
154,"There are STILL questions about @USER that need to be answered on: Obstruction of Justice Corruption Abuse of Power The American people have a RIGHT to know, and that’s why AG Barr MUST #ReleaseTheReport!",1
155,.@USER tradition of ringing bell from 1906 #USSMilwaukee in honor 9/11 victims. #neverforget 9/11,2
156,The Obama Admin doesn’t want you to know the truth. #ObamaCare means higher premiums →,2
157,"Do you own a small business in Nevada?   Last week, I fought in Congress so that YOU could be eligible for increased loans given the #COVID19 economic impact.",1
158,".@USER are fighting #ForThePeople to restore democracy. Ending forced arbitration is critical to making our economy fair, holding corporations accountable when they break the law & giving consumers & workers a voice and the ability to fight back against abuse. #FAIRAct",1
159,I recently had the chance to speak with some of my North Las Vegas residents who shared their personal stories on rising costs of prescription drugs and concerns over access to quality #healthcare. That’s why I’ll continue to fight to pass #HR3 the #LowerDrugCostsNow Act.,1
160,Great to meet w/ the GA Chapter of .@USER Enough is enough. We must act. #NationalDayofAction #DisarmHate,1
161,"Just toured @USER Dixon composting facility. Crucial in efforts to reduce waste, provide renewable energy, & address climate change",1
162,"She cannot continue to obstruct a congressional investigation, she must tell us the truth. #IRS",2
163,Disappointed in senators who voted against energy jobs in North Dakota today. #MethaneRule   Full Statement: HTTPURL,2
164,"Today, I voted to stop taxpayer funded abortion, while protecting these funds for clinics offering other women’s health services.",2
165,Signed petition to #DemandAVote on #ENDA: protects #LGBT Americans from being fired for who they are or who they love,1
166,"State health officials have announced today 106 additional cases of #COVID19 in New Mexico, currently totaling 1,091 positive tests statewide.  Sadly, @USER has also announced two new deaths related to COVID-19, bringing the total to 19.  More info here: HTTPURL",1
167,Why can't we #RaisetheWage? The most closed Congress in history. RT if you think #GOPClosedCongress needs to stop.,1
168,Tomorrow @USER hosts a #Trumpcare Twitter town hall. Make Your Voices Heard! State your questions with the hashtag #CBCOnHealthcare,1
169,"Fifty years after Freedom Summer, the Voting Rights Act is needed more than ever: HTTPURL #VRA4Today",1
170,"#DCStatehood highlight of the week: I planted a tree at the Capitol on Congress’ doorstep to honor DC residents, who are still denied voting rights and are determined to become the 51st state. Our Tulip Polar is a descendant of George Washington’s original trees at Mt. Vernon.",1
171,"Today the US reaffirmed its commitment to Israel by following through on a pledge we made years ago as a nation. By opening our embassy in Jerusalem, @USER has followed through on yet another promise and taken much-needed action to support our closest ally in the region.",2
172,Proud to have worked w/ Lilly #Ledbetter on #paycheckfairness & ensuring equal pay for equal work,1
173,"Wondering about masks or face coverings?  The latest @USER guidance is that cloth face coverings may provide some additional benefit and are encouraged – but do not replace aggressive social distancing, which remains the most effective method of slowing the spread of #COVID19.",1
174,Remember when a Democratic Congress worked with a Republican President to #RaiseTheWage? #TBT #throwbackthursday,1
175,Discussing the latest in the war against #ISIS / #ISIL in #Iraq on @USER with @USER at 5 pm et / 2 pm pt,1
176,Our 2017 End-of-Year Newsletter continues with Part 2: Leading in Congress to confront sexual harassment. Ensuring several wins for DC taxpayers in an otherwise awful #GOPTaxScam bill. Passing a bill to honor 2018 bicentennial for Frederick Douglass. Look for Part 3 tomorrow.,1
177,"Met with @USER workers at the airport in Cleveland this morning, who continue to work every day to keep Americans safe – but because of the #TrumpShutdown, they’re not taking home a paycheck.",1
178,"In a bipartisan vote, Senate advanced #ENDA to ban discrimination against #LGBT at workplace HTTPURL",1
179,Had a great Saturday night w/ Bismarck Friends of @USER discussing the latest legislation in Congress to reinforce our #2ndAmendment rights.,2
180,I’m proud to support the #PaycheckFairness Act because #EqualPay is crucial to building a stronger economy.,1
181,"I take the safety of Nevadans seriously. While there have been no reported cases of #COVID19 yet in our state, I voted today to ensure that all Americans, have the resources needed for an effective and comprehensive government-wide response to the growing public health threat.",1
182,How is @USER paying for the #GOPTaxScam that gives nearly half of the tax cuts to the top 1% of earners? By eliminating tax deductions for teachers buying supplies for their classrooms.,1
183,@USER veto of #NDAA insults the brave men & women of the #military. I will work to override this injustice #NDPOL,2
184,"NOW: Rep Cicilline, Democratic leaders hold press conference to discuss #TrumpShutdown",1
185,Today we celebrate the 52nd anniversary of #Medicare & #Medicaid—crucial programs for families that will be at risk under #Trumpcare.,1
186,"Spoke w members of St. Mary’s Catholic Church in #KeyWest about their concerns, including the Syrian Refugee Crisis",2
187,"Met w/ Kenneth Morris, great-great-great grandson of Frederick Douglass, on my bill to create a bicentennial commission to honor life of FD.",1
188,"Join us on Monday at 11:30am as we plant a DC tree on Capitol Grounds in recognition of DC residents, who live the nation’s capital without voting rights in Congress. Pending #DCStatehood, DC deserves the same recognition, small or large, as the 50 states. HTTPURL…",1
189,Time to pass the #CHOICEact to reform our financial system. More here: HTTPURL,2
190,"Happy #MothersDay, DC mothers and grandmothers. I’m enjoying Mother’s Day with my children and grandchildren. May your Mother’s Day be just as special and enjoyable.",1
191,"Grandchild #5, Willa Ruth Senne was born at 7:30 this evening and is healthy and beautiful. Annie, Nick and Nico are all great too. God is good!",2
192,"State health officials have announced today 62 additional cases of #COVID19 in New Mexico, currently totaling 686 positive tests statewide.  More info here: HTTPURL  New Mexico: please, stay home. Stay vigilant. Slow the spread of COVID-19. #StayHomeSaveLives",1
193,Congressman Garamendi joins bipartisan bicameral conference for water infrastructure jobs bill #WRRDA/#WRDA,1
194,"56 years ago, our nation legally outlawed discrimination and segregation based on race, religion, sex or nationality. We continue the fight for equality with renewed strength. Now more than ever, people from all walks of life are on the frontline to help. #CivilRightsAct #BLM",1
195,We must recommit to preventing #domesticviolence in all facets of society: HTTPURL #DVAM #nomore @USER,1
196,#SchumerShutdown Means US Service members go without pay.  Time for @USER to put our military first and vote to open the government,2
197,"HAPPENING SOON: Rep Cicilline to speak at press conference on Social Security, Medicare, prescription drugs. #ProtectOurCare #ForThePeople",1
198,"Last year, I participated in the #HouseSitIn to protest #GunViolence & the GOP has done nothing since then to keep our families safe.",1
199,"Great visit to the @USER extension campus here in #SouthDade. Learned about some of the critical research from @USER & @USER being done right here in #FL26 to help our growers adapt and mitigate for the effects of #invasivespecies, #climatechange & #sealevelrise.",2
200,"Researching disease works. Need more NIH funding for #Alzheimers research to slow, prevent & #ENDALZ",1
201,"As of today, 21,812 Nevadans have been cut off from unemployment insurance. Congress must #RenewUI immediately!",1
202,"Older adults and people with underlying health conditions, including cancer, may be at higher risk for more serious complications from #COVID19. It’s important for everyone to take precautions to keep the most vulnerable populations healthy. #CongressionalFamilies",1
203,"Today I signed Senate Bill 22, creating the Early Childhood Education and Care Department. This new department is the vehicle to arguably the most important turnaround we must & will make as a state in the coming years, for children just like my granddaughter Avery. #SB22 #nmleg",1
204,I stand with the peaceful protesters in #Ferguson. From D.C. to MO – #HandsUpDontShoot,1
205,We all have a choice: we can work collaboratively to build consensus for #climate solutions or we can selfishly exploit the issue for personal gain. This article features many who are making the wrong choice.   House panel yanks Curbelo invite amid furor from top Democrats,2
206,Today marks 10 years since the Affordable Care Act was signed into law. The ACA was the first bill I voted on when I was elected to Congress. The ACA bans discrimination on pre-existing conditions.,1
207,Good story on why F. Murray Abraham is bringing attention to the Syrian refugee crisis. HTTPURL…,1
208,Great to join Rep @USER & @USER for #NatomasBasin Signing Ceremony today. Important flood protection,1
209,The Senate has taken action to end unconscionable workplace discrimination. Now it’s the House’s turn to #passENDA,1
210,Chairman @USER & @USER welcome Canadian PM @USER at @USER Good discussion on #NAFTA,2
211,Let's keep the energy production momentum on our side. It's #TimetoBuild the #KeystoneXL #SOTU,2
212,Just spoke at Bet Haverim synagogue in #DavisCA in support of a two-state solution for Israel & the Palestinians,1
213,"Tax cuts don’t pay for themselves, so how do Republicans want to pay for the #GOPTaxScam? By cutting crucial benefits like Medicare, Medicaid, and Social Security.",1
214,"Trade between the U.S. and Canada is important to North Dakota’s economy because of our shared border. As co-chair of the House Northern Border Caucus, I appreciated the opportunity to discuss ongoing #NAFTA negotiations with Canadian Conservative Party Leader @USER",2
215,Great to participate in Cops & Community forum @USER on Sat. #BlackLivesMatter #BrownLivesMatter #AllLivesMatter,1
216,#RosaParks is first—and only—black woman w/ life-size statue in Capitol—tribute to her civil rights contributions.,1
217,RT @USER If the #IRS targets Americans based on political beliefs what will this mean under #Obamacare?,2
218,Proud to join @USER in a care pckg for @USER will be joining shortly. #NoBillNoBreak #SitIn,1
